5	213
12	447
5	3
29	414
8	35
24	408
1	0
13	5
13	5
21	171
20	280
1	0
2	1
4	1
7	335
7	378
14	263
1	1
8	8
8	269
14	1
12	526
2	0
8	984
7	515
5	2
5	1
1	0
12	2
12	3
2	1
2	1
2	0
8	7
3	1
4	1
6	180
13	2
2	0
1	0
4	2
2	0
31	187
1	1
4	3
1	1
1	0
1	0
12	2
12	1
21	2
8	429
7	202
2	0
12	1
20	216
8	6
16	1
2	1
1	0
8	594
3	0
5	1
4	2
7	595
8	2
5	1
6	0
6	2
4	0
7	4
2	1
13	522
4	0
70	47
1	0
12	1
28	146
12	2
29	123
4	1
1	0
23	117
4	1
8	5
2	0
12	1
1	0
5	2
8	1325
71	124
1	0
71	84
66	148
5	1
8	427
15	1
5	0
8	4
20	194
3	0
1	0
8	1039
20	199
6	192
20	185
5	1
26	131
6	0
68	161
8	982
7	402
6	1
21	112
3	0
4	1
4	0
5	1
1	0
12	1
1	0
4	0
4	1
4	1
67	89
13	1
65	86
1	0
3	1
2	0
4	1
2	0
13	0
8	4
12	1115
2	0
68	164
20	195
4	1
3	0
2	0
1	1
2	0
5	1
13	1
72	46
5	156
79	175
2	0
2	0
12	1
8	579
4	1
4	0
8	5
20	192
2	0
4	1
12	1
12	1
14	1
5	1
22	122
4	1
4	1
8	421
13	1
16	1
6	163
12	1
4	1
66	52
1	1
4	1
21	131
8	4
6	2
4	3
5	1
4	5
1	1
67	165
2	1
2	0
3	0
8	267
8	4
7	445
65	43
8	574
71	104
5	1
6	1
12	1
7	393
2	1
2	0
5	147
5	1
4	1
2	1
7	411
6	0
14	1
8	984
5	1
1	1
16	549
20	182
2	1
15	0
1	0
2	0
1	0
1	0
5	1
20	133
75	90
4	0
7	463
8	4
6	1
7	460
12	1
7	4
2	1
16	1
15	0
2	0
7	253
7	437
1	0
8	398
5	2
4	0
8	418
12	1
5	167
13	428
13	471
22	115
1	1
3	0
3	0
2	0
6	1
13	1
2	0
74	88
1	0
15	1
12	1
2	0
4	0
4	3
8	322
1	0
2	1
2	0
1	0
21	116
69	141
8	559
13	1
1	0
21	136
2	1
12	2
5	1
8	5
2	0
13	2
28	118
5	156
5	140
1	0
2	1
69	46
12	1
4	0
64	50
11	1
8	5
22	125
67	51
2	0
12	1
22	119
12	1
1	0
2	0
7	423
9	1
1	0
2	1
2	0
1	0
2	0
12	1
5	0
12	2
82	197
1	0
12	4
8	353
3	0
28	117
3	0
20	181
13	0
2	0
2	0
5	1
4	1
2	0
3	0
28	123
5	1
2	0
23	153
6	1
4	0
5	1
4	1
4	1
7	4
16	0
2	1
5	1
12	1
8	956
5	1
4	1
1	0
13	1
12	444
32	113
1	0
78	168
1	0
5	1
6	1
2	0
1	0
4	1
20	184
5	0
14	1
4	0
1	0
7	460
68	53
2	0
2	1
2	0
6	0
21	114
8	910
4	1
8	850
5	1
4	0
69	162
1	0
8	477
6	407
6	1
2	0
4	0
18	1
3	0
5	146
4	0
13	1
1	0
8	422
5	0
66	46
5	1
6	1
2	0
1	0
6	0
1	0
2	0
5	22
3	0
1	1
4	1
12	1
23	120
6	1
4	0
5	153
1	0
4	0
1	1
1	0
5	1
66	85
7	3
63	77
30	121
2	0
6	0
7	330
21	114
6	9
5	152
13	1
2	0
5	1
5	1
13	1
4	0
14	1
12	1
22	115
4	1
1	0
4	0
2	0
3	0
67	48
91	190
12	1
5	1
5	1
2	0
1	0
1	0
6	4
79	216
12	1
7	619
1	0
8	4
12	362
4	0
8	412
15	0
2	1
6	1
7	3
8	1285
2	0
1	0
4	0
1	0
2	1
7	408
12	2
5	0
4	1
16	1
29	110
4	0
5	1
13	1
4	1
1	0
4	0
21	138
5	171
12	1
3	0
16	0
12	0
4	0
6	181
12	1
21	135
9	4
7	1173
12	1
6	0
1	0
8	18
2	0
4	1
